mensaje_limpio,incidente,area,coincidencias
Hubo molestia ruido hace poco en zona de parqueaderos.,queja de cliente,recepcion,3
Visitantes informan carterazo cerca de piso 1.,robo,seguridad,1
Un colaborador menciona haber visto iluminacion en entrada principal.,iluminacion danada,mantenimiento,1
Un colaborador menciona haber visto corto circuito en entrada principal.,cableado suelto,mantenimiento,1
Varias personas mencionan elevador afuera de Mi Comisariato.,ascensor en falla,mantenimiento,1
Parece que hubo desmontar afuera de Coral Hipermercados.,retiro material publicitario,mercadeo,1
"Reportan robado en área infantil, estaba pasando entre una señora.",robo,seguridad,1
Se genera alerta por flyer en el sector de Pícaro Resto Grill.,publicidad,mercadeo,1
Visitantes informan obstruyendo cerca de zona de carga.,vehiculo mal estacionado,seguridad,1
Por radios informan inundacion en pasillo central.,fuga de agua,mantenimiento,1
Un visitante dice que encontró remover cerca de Tía.,retiro material publicitario,mercadeo,1
Personal de limpieza vio gritando en piso 1.,pelea,seguridad,1
Hubo documento hace poco en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Se detecta algo relacionado con molestia en zona de parqueaderos.,queja de cliente,recepcion,1
Se detecta algo relacionado con perdido en baños del segundo piso.,objeto perdido,seguridad,2
Por radios informan promocion en zona de parqueaderos.,publicidad,mercadeo,2
Parece que hubo stand afuera de Starbucks.,montaje de evento,mercadeo,1
Por radios informan sangre en terraza.,emergencia medica,sso,1
full gente comentó que vio expuesto por cerca de Cinemark.,cableado suelto,mantenimiento,1
Varias personas mencionan iluminacion afuera de Doña Menestra.,iluminacion danada,mantenimiento,1
Parece que hubo parpadeando afuera de Mega Kywi.,iluminacion danada,mantenimiento,1
En patio de comidas un cliente reporta quejar cerca de Starbucks.,queja de cliente,recepcion,2
Un visitante dice que encontró publicidad cerca de Tía.,publicidad,mercadeo,1
Visitantes informan obstruyendo cerca de junto a las escaleras eléctricas.,accidente en escalera,sso,2
Parece que hubo promo afuera de Claro.,publicidad,mercadeo,1
"Reportan evento en zona de carga, estaba pasando entre full gente.",montaje de evento,mercadeo,1
full gente comentó que vio bloqueando por entrada principal.,vehiculo mal estacionado,seguridad,1
Se genera alerta por quejar en el sector de Tía.,queja de cliente,recepcion,2
Por radios informan evento en pasillo central.,montaje de evento,mercadeo,1
Mensaje recibido: lastimado en junto a Tía.,caida,sso,1
Varias personas mencionan ayuda medica afuera de Isla de helados.,emergencia medica,sso,1
Personal de limpieza vio luz en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Un visitante dice que encontró evento cerca de Marathon Sports.,montaje de evento,mercadeo,1
Mensaje recibido: queja en entrada principal.,queja de cliente,recepcion,1
Se observa sin luz a la altura de cerca de Cinemark.,iluminacion danada,mantenimiento,2
Se observa molestia a la altura de terraza.,queja de cliente,recepcion,1
"Alguien avisó de expuesto en zona de parqueaderos, estaba recién pasó.",cableado suelto,mantenimiento,1
Se observa archivo a la altura de patio de comidas.,perdida de documentos,administracion,1
Personal de limpieza vio agresion en zona coworking.,pelea,seguridad,1
Visitantes informan robado cerca de patio de comidas.,robo,seguridad,1
Por radios informan asalto en fuera de Pycca.,robo,seguridad,1
Un guardia indica que hubo conflicto en frente a Mega Kywi.,pelea,seguridad,1
Parece que hubo resbalon afuera de Starbucks.,caida,sso,1
una señora comentó que vio charco por piso 1.,fuga de agua,mantenimiento,1
Se genera alerta por tropiezo escalera en el sector de Tony Roma's.,accidente en escalera,sso,2
"Reportan bloqueando en piso 1, estaba pasando entre una señora.",vehiculo mal estacionado,seguridad,1
Un guardia indica que hubo promocion en pasillo central.,publicidad,mercadeo,2
Se genera alerta por se llevaron en el sector de Mi Comisariato.,robo,seguridad,1
Visitantes informan mal servicio cerca de zona coworking.,queja de cliente,recepcion,1
Personal de limpieza vio alto volumen en fuera de Pycca.,ruido excesivo,administracion,1
Se detecta algo relacionado con montaje en fuera de Pycca.,montaje de evento,mercadeo,1
"Alguien avisó de carpeta en fuera de Pycca, estaba como que.",perdida de documentos,administracion,1
Hubo herido hace poco en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Personal de limpieza vio carpeta en cerca de Cinemark.,perdida de documentos,administracion,1
"Reportan atorado en zona de parqueaderos, estaba pasando entre según dicen.",ascensor en falla,mantenimiento,1
Un guardia indica que hubo cables sueltos en frente a Mega Kywi.,cableado suelto,mantenimiento,2
Mensaje recibido: bloqueando en fuera de Pycca.,vehiculo mal estacionado,seguridad,1
Varias personas mencionan sin luz afuera de Pícaro Resto Grill.,iluminacion danada,mantenimiento,2
Notifican desde terraza que ocurrió montaje.,montaje de evento,mercadeo,1
En pasillo central un cliente reporta fuga cerca de Tía.,fuga de agua,mantenimiento,1
Parece que hubo carterazo afuera de Movistar.,robo,seguridad,1
"Alguien avisó de amenaza en zona de carga, estaba como que.",robo,seguridad,1
Hubo herido hace poco en cerca de Cinemark.,emergencia medica,sso,1
un guardia comentó que vio mal servicio por baños del segundo piso.,queja de cliente,recepcion,1
"Reportan pistola en área infantil, estaba pasando entre a cada rato.",robo,seguridad,1
full gente comentó que vio rina por área bancaria.,pelea,seguridad,1
Mensaje recibido: mal servicio en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Guardias revisan caso de electricidad fuera de Juan Valdez.,cableado suelto,mantenimiento,1
Parece que hubo papeles afuera de Mega Kywi.,perdida de documentos,administracion,1
Se detecta algo relacionado con cables sueltos en junto a Tía.,cableado suelto,mantenimiento,2
Un visitante dice que encontró evento cerca de Pycca.,montaje de evento,mercadeo,1
Visitantes informan lastimado cerca de frente a Mega Kywi.,caida,sso,1
Guardias revisan caso de oscuridad fuera de Starbucks.,iluminacion danada,mantenimiento,1
Por radios informan sin luz en frente a Mega Kywi.,iluminacion danada,mantenimiento,2
Un guardia indica que hubo archivo en fuera de Pycca.,perdida de documentos,administracion,1
"Reportan electricidad en junto a Tía, estaba pasando entre un man.",cableado suelto,mantenimiento,1
Visitantes informan sin luz cerca de fuera de Pycca.,iluminacion danada,mantenimiento,2
Un visitante dice que encontró tropece cerca de KFC.,caida,sso,1
Se observa arma a la altura de entrada principal.,robo,seguridad,1
Notifican desde área infantil que ocurrió ascensor.,ascensor en falla,mantenimiento,1
Personal de limpieza vio tuberia rota en junto a Tía.,fuga de agua,mantenimiento,1
Personal de limpieza vio fuga en fuera de Pycca.,fuga de agua,mantenimiento,1
Parece que hubo agresion afuera de Doña Menestra.,pelea,seguridad,1
En área infantil un cliente reporta molestia ruido cerca de Mi Comisariato.,queja de cliente,recepcion,3
Se observa reclamo a la altura de baños del segundo piso.,queja de cliente,recepcion,1
Un cliente molesto dice que hubo emergencia cerca de Isla de helados.,inconsciencia,sso,1
Un colaborador menciona haber visto promo en patio de comidas.,publicidad,mercadeo,1
Un colaborador menciona haber visto fuga en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Se genera alerta por pistola en el sector de Adidas Store.,robo,seguridad,1
recién pasó comentó que vio auxilio por pasillo central.,inconsciencia,sso,1
En segundo piso un cliente reporta se cayo escalera cerca de Pícaro Resto Grill.,accidente en escalera,sso,2
Un visitante dice que encontró evento cerca de Movistar.,montaje de evento,mercadeo,1
Varias personas mencionan inundacion afuera de McDonald's.,fuga de agua,mantenimiento,1
Varias personas mencionan vigilado afuera de Pycca.,persona sospechosa,seguridad,1
Personal de limpieza vio robaron en junto a Tía.,robo,seguridad,1
Parece que hubo carpeta afuera de Tony Roma's.,perdida de documentos,administracion,1
Mensaje recibido: quitar publicidad en entrada principal.,publicidad,mercadeo,2
Un colaborador menciona haber visto agua en piso 1.,fuga de agua,mantenimiento,1
Un guardia indica que hubo escalera en área infantil.,accidente en escalera,sso,1
Se observa tuberia rota a la altura de zona coworking.,fuga de agua,mantenimiento,1
está feo eso comentó que vio molestia ruido por baños del segundo piso.,queja de cliente,recepcion,3
Un visitante dice que encontró extraviado cerca de Pycca.,objeto perdido,seguridad,1
Se observa charco a la altura de área bancaria.,fuga de agua,mantenimiento,1
Guardias revisan caso de violencia fisica fuera de Movistar.,robo,seguridad,2
Parece que hubo bloqueando afuera de Valentina.,vehiculo mal estacionado,seguridad,1
Parece que hubo publicidad afuera de Marathon Sports.,publicidad,mercadeo,1
Visitantes informan se me cayo cerca de junto a las escaleras eléctricas.,objeto perdido,seguridad,2
Un colaborador menciona haber visto parpadeando en área infantil.,iluminacion danada,mantenimiento,1
Guardias revisan caso de decoracion fuera de Movistar.,montaje de evento,mercadeo,1
Un visitante dice que encontró forcejeo cerca de Coral Hipermercados.,pelea,seguridad,1
Mensaje recibido: archivo en entrada principal.,perdida de documentos,administracion,1
Se detecta algo relacionado con agua en área infantil.,fuga de agua,mantenimiento,1
Hubo hurto hace poco en área infantil.,robo,seguridad,1
Un cliente molesto dice que hubo traba cerca de Isla de helados.,ascensor en falla,mantenimiento,1
Un cliente molesto dice que hubo vehiculo cerca de Valentina.,vehiculo mal estacionado,seguridad,1
Un cliente molesto dice que hubo tropiezo escalera cerca de Isla de helados.,accidente en escalera,sso,2
Un guardia indica que hubo vehiculo en zona de carga.,vehiculo mal estacionado,seguridad,1
según dicen comentó que vio quitar publicidad por junto a Tía.,publicidad,mercadeo,2
Se genera alerta por tropiezo escalera en el sector de Valentina.,accidente en escalera,sso,2
Se observa bulla a la altura de junto a las escaleras eléctricas.,accidente en escalera,sso,2
Guardias revisan caso de se cayo escalera fuera de Cinemark.,accidente en escalera,sso,2
Un visitante dice que encontró ambulancia cerca de Cinemark.,inconsciencia,sso,1
Se observa cable a la altura de fuera de Pycca.,cableado suelto,mantenimiento,1
Personal de limpieza vio observando mucho en terraza.,persona sospechosa,seguridad,1
"Alguien avisó de decoracion en área bancaria, estaba un chico.",montaje de evento,mercadeo,1
Por radios informan stand en junto a Tía.,montaje de evento,mercadeo,1
Hubo escenario hace poco en área bancaria.,montaje de evento,mercadeo,1
Un colaborador menciona haber visto promocion en planta baja.,publicidad,mercadeo,2
Un visitante dice que encontró ruido cerca de KFC.,ruido excesivo,administracion,1
Notifican desde pasillo central que ocurrió se me cayo.,objeto perdido,seguridad,1
Personal de limpieza vio no funciona ascensor en zona de parqueaderos.,ascensor en falla,mantenimiento,2
un guardia comentó que vio rina por baños del segundo piso.,pelea,seguridad,1
Parece que hubo fractura afuera de Cinemark.,emergencia medica,sso,1
Se observa oscuridad a la altura de piso 1.,iluminacion danada,mantenimiento,1
En junto a Tía un cliente reporta molestia ruido cerca de Tony Roma's.,queja de cliente,recepcion,3
Notifican desde piso 1 que ocurrió ascensor.,ascensor en falla,mantenimiento,1
"Reportan agua en junto a las escaleras eléctricas, estaba pasando entre como que.",accidente en escalera,sso,2
Un guardia indica que hubo traba en terraza.,ascensor en falla,mantenimiento,1
Hubo golpe hace poco en junto a las escaleras eléctricas.,caida,sso,2
Parece que hubo tropiezo escalera afuera de KFC.,accidente en escalera,sso,2
"Reportan accidente escalera en entrada principal, estaba pasando entre según dicen.",caida,sso,3
"Reportan molestia ruido en pasillo central, estaba pasando entre recién pasó.",queja de cliente,recepcion,3
Un visitante dice que encontró obstruyendo cerca de De Prati.,vehiculo mal estacionado,seguridad,1
Se detecta algo relacionado con objeto perdido en junto a Tía.,objeto perdido,seguridad,3
Personal de limpieza vio resbale en fuera de Pycca.,caida,sso,1
Un guardia indica que hubo inundacion en pasillo central.,fuga de agua,mantenimiento,1
Se detecta algo relacionado con corto circuito en frente a Mega Kywi.,cableado suelto,mantenimiento,1
Notifican desde área infantil que ocurrió bulla.,ruido excesivo,administracion,1
En terraza un cliente reporta decoracion cerca de Adidas Store.,montaje de evento,mercadeo,1
Un visitante dice que encontró perdido cerca de Cinemark.,objeto perdido,seguridad,2
Guardias revisan caso de objeto perdido fuera de Cinemark.,objeto perdido,seguridad,3
Parece que hubo lastimado afuera de Claro.,caida,sso,1
Varias personas mencionan atorado afuera de De Prati.,ascensor en falla,mantenimiento,1
Notifican desde cerca de Cinemark que ocurrió quitar publicidad.,publicidad,mercadeo,2
En planta baja un cliente reporta agua cerca de Tony Roma's.,fuga de agua,mantenimiento,1
Se genera alerta por accidente en el sector de Cinemark.,caida,sso,1
Un guardia indica que hubo fuga en cerca de Cinemark.,fuga de agua,mantenimiento,1
Un guardia indica que hubo ambulancia en zona de carga.,inconsciencia,sso,1
Se observa bulla a la altura de frente a Mega Kywi.,ruido excesivo,administracion,1
Hubo molestia hace poco en entrada principal.,queja de cliente,recepcion,1
Se genera alerta por desmayado en el sector de Pycca.,inconsciencia,sso,1
Parece que hubo molestia ruido afuera de Sweet & Coffee.,queja de cliente,recepcion,3
Por radios informan atencion medica en zona de parqueaderos.,emergencia medica,sso,1
Se observa perdi documento a la altura de piso 1.,objeto perdido,seguridad,3
"Alguien avisó de fuga en zona de carga, estaba está feo eso.",fuga de agua,mantenimiento,1
Hubo dolor fuerte hace poco en zona de carga.,emergencia medica,sso,1
Personal de limpieza vio traba en junto a Tía.,ascensor en falla,mantenimiento,1
Un visitante dice que encontró iluminacion cerca de Mega Kywi.,iluminacion danada,mantenimiento,1
Se observa agua a la altura de patio de comidas.,fuga de agua,mantenimiento,1
Un cliente molesto dice que hubo atencion medica cerca de Starbucks.,emergencia medica,sso,1
Guardias revisan caso de bulla fuera de McDonald's.,ruido excesivo,administracion,1
Notifican desde cerca de Cinemark que ocurrió sin luz.,iluminacion danada,mantenimiento,2
Notifican desde junto a Tía que ocurrió perdi documento.,objeto perdido,seguridad,3
Se observa ascensor a la altura de pasillo central.,ascensor en falla,mantenimiento,1
Visitantes informan atorado cerca de área bancaria.,ascensor en falla,mantenimiento,1
Hubo parpadeando hace poco en segundo piso.,iluminacion danada,mantenimiento,1
Hubo ambulancia hace poco en entrada principal.,inconsciencia,sso,1
"Alguien avisó de cables sueltos en piso 1, estaba según dicen.",cableado suelto,mantenimiento,2
Se observa evento a la altura de zona de carga.,montaje de evento,mercadeo,1
Visitantes informan ambulancia cerca de cerca de Cinemark.,inconsciencia,sso,1
Un guardia indica que hubo molestia en junto a Tía.,queja de cliente,recepcion,1
En área infantil un cliente reporta lastimado cerca de Coral Hipermercados.,caida,sso,1
Varias personas mencionan se me cayo afuera de Mega Kywi.,objeto perdido,seguridad,1
Por radios informan bloqueando en zona de carga.,vehiculo mal estacionado,seguridad,1
Guardias revisan caso de bulla fuera de Claro.,ruido excesivo,administracion,1
Un guardia indica que hubo ayuda medica en cerca de Cinemark.,emergencia medica,sso,1
Guardias revisan caso de auxilio fuera de KFC.,inconsciencia,sso,1
Se detecta algo relacionado con caida en entrada principal.,caida,sso,1
Se observa escenario a la altura de cerca de Cinemark.,montaje de evento,mercadeo,1
Un cliente molesto dice que hubo ascensor cerca de Mega Kywi.,ascensor en falla,mantenimiento,1
"Reportan reclamo en baños del segundo piso, estaba pasando entre full gente.",queja de cliente,recepcion,1
Un cliente molesto dice que hubo foco cerca de Valentina.,iluminacion danada,mantenimiento,1
Un colaborador menciona haber visto merodeando en área infantil.,persona sospechosa,seguridad,1
En zona coworking un cliente reporta papeles cerca de KFC.,perdida de documentos,administracion,1
justito comentó que vio papeles por planta baja.,perdida de documentos,administracion,1
Se detecta algo relacionado con desmontar en cerca de Cinemark.,retiro material publicitario,mercadeo,1
"Alguien avisó de flyer en zona de parqueaderos, estaba medio raro.",persona sospechosa,seguridad,2
Hubo lastimado hace poco en pasillo central.,caida,sso,1
Se genera alerta por atencion pesima en el sector de McDonald's.,queja de cliente,recepcion,1
Un guardia indica que hubo no funciona ascensor en baños del segundo piso.,ascensor en falla,mantenimiento,2
En frente a Mega Kywi un cliente reporta publicidad cerca de Coral Hipermercados.,publicidad,mercadeo,1
Hubo emergencia hace poco en fuera de Pycca.,inconsciencia,sso,1
Un visitante dice que encontró violencia fisica cerca de Claro.,robo,seguridad,2
Mensaje recibido: desmontar en entrada principal.,retiro material publicitario,mercadeo,1
Un guardia indica que hubo corto circuito en zona de parqueaderos.,cableado suelto,mantenimiento,1
Se detecta algo relacionado con documento en área infantil.,perdida de documentos,administracion,1
Se genera alerta por atorado en el sector de Pycca.,ascensor en falla,mantenimiento,1
Un visitante dice que encontró se cayo escalera cerca de Adidas Store.,accidente en escalera,sso,2
Se observa accidente a la altura de junto a Tía.,caida,sso,1
En entrada principal un cliente reporta desmontar cerca de Valentina.,retiro material publicitario,mercadeo,1
"Alguien avisó de herido en planta baja, estaba un chico.",emergencia medica,sso,1
Mensaje recibido: se me cayo en zona de parqueaderos.,objeto perdido,seguridad,1
Un visitante dice que encontró estacionado cerca de Marathon Sports.,vehiculo mal estacionado,seguridad,1
Personal de limpieza vio me cai en terraza.,caida,sso,1
Parece que hubo remover afuera de Tía.,retiro material publicitario,mercadeo,1
"Alguien avisó de perdi en entrada principal, estaba medio raro.",persona sospechosa,seguridad,2
Un cliente molesto dice que hubo ascensor cerca de Coral Hipermercados.,ascensor en falla,mantenimiento,1
Por radios informan estacionado en baños del segundo piso.,vehiculo mal estacionado,seguridad,1
Un cliente molesto dice que hubo se cayo escalera cerca de Juan Valdez.,accidente en escalera,sso,2
Hubo insatisfecho hace poco en área bancaria.,queja de cliente,recepcion,1
Varias personas mencionan flyer afuera de De Prati.,publicidad,mercadeo,1
En área bancaria un cliente reporta accidente escalera cerca de Isla de helados.,caida,sso,3
"Alguien avisó de ambulancia en terraza, estaba según dicen.",inconsciencia,sso,1
"Reportan molestia ruido en segundo piso, estaba pasando entre un chico.",queja de cliente,recepcion,3
En segundo piso un cliente reporta se me cayo cerca de McDonald's.,objeto perdido,seguridad,1
Personal de limpieza vio flyer en planta baja.,publicidad,mercadeo,1
una señora comentó que vio escalera por zona coworking.,accidente en escalera,sso,1
Por radios informan cable en zona de parqueaderos.,cableado suelto,mantenimiento,1
Guardias revisan caso de remover fuera de KFC.,retiro material publicitario,mercadeo,1
Por radios informan forcejeo en segundo piso.,pelea,seguridad,1
Parece que hubo elevador afuera de Tony Roma's.,ascensor en falla,mantenimiento,1
Guardias revisan caso de carpeta fuera de Tía.,perdida de documentos,administracion,1
Se genera alerta por mal parqueado en el sector de Isla de helados.,vehiculo mal estacionado,seguridad,1
Se observa objeto perdido a la altura de fuera de Pycca.,objeto perdido,seguridad,3
Un colaborador menciona haber visto traba en planta baja.,ascensor en falla,mantenimiento,1
está feo eso comentó que vio electricidad por segundo piso.,cableado suelto,mantenimiento,1
Se observa vehiculo a la altura de baños del segundo piso.,vehiculo mal estacionado,seguridad,1
Un colaborador menciona haber visto tropece en área bancaria.,caida,sso,1
Se detecta algo relacionado con gritando en baños del segundo piso.,pelea,seguridad,1
Se genera alerta por anuncio en el sector de Cinemark.,publicidad,mercadeo,1
durísimo comentó que vio sospechoso por área infantil.,persona sospechosa,seguridad,1
Guardias revisan caso de elevador fuera de McDonald's.,ascensor en falla,mantenimiento,1
Se genera alerta por robo en el sector de Mega Kywi.,robo,seguridad,1
Un cliente molesto dice que hubo pelea cerca de Juan Valdez.,pelea,seguridad,1
Por radios informan vigilado en cerca de Cinemark.,persona sospechosa,seguridad,1
Un visitante dice que encontró archivo cerca de Starbucks.,perdida de documentos,administracion,1
"Reportan evento en zona de carga, estaba pasando entre parece que.",montaje de evento,mercadeo,1
Personal de limpieza vio resbale en zona coworking.,caida,sso,1
Por radios informan cables sueltos en zona de carga.,cableado suelto,mantenimiento,2
Se genera alerta por carpeta en el sector de Movistar.,perdida de documentos,administracion,1
Varias personas mencionan retirar afuera de Claro.,retiro material publicitario,mercadeo,1
Un colaborador menciona haber visto urgencia en segundo piso.,emergencia medica,sso,1
Visitantes informan sangre cerca de patio de comidas.,emergencia medica,sso,1
Guardias revisan caso de oscuridad fuera de Cinemark.,iluminacion danada,mantenimiento,1
Parece que hubo promocion afuera de Cinemark.,publicidad,mercadeo,2
Un cliente molesto dice que hubo retirar cerca de KFC.,retiro material publicitario,mercadeo,1
Se detecta algo relacionado con resbalon en frente a Mega Kywi.,caida,sso,1
Notifican desde segundo piso que ocurrió no encuentro.,objeto perdido,seguridad,1
Visitantes informan cables sueltos cerca de entrada principal.,cableado suelto,mantenimiento,2
"Reportan me cai en junto a las escaleras eléctricas, estaba pasando entre durísimo.",caida,sso,2
un chico comentó que vio ayuda medica por fuera de Pycca.,emergencia medica,sso,1
Hubo dolor fuerte hace poco en zona de parqueaderos.,emergencia medica,sso,1
Hubo apagado hace poco en segundo piso.,iluminacion danada,mantenimiento,1
Un visitante dice que encontró bloqueando cerca de Doña Menestra.,vehiculo mal estacionado,seguridad,1
Hubo queja hace poco en terraza.,queja de cliente,recepcion,1
Un cliente molesto dice que hubo bulla cerca de Coral Hipermercados.,ruido excesivo,administracion,1
Parece que hubo lastimado afuera de Tía.,caida,sso,1
Guardias revisan caso de observando mucho fuera de KFC.,persona sospechosa,seguridad,1
Por radios informan escalera en patio de comidas.,accidente en escalera,sso,1
Notifican desde terraza que ocurrió iluminacion.,iluminacion danada,mantenimiento,1
Notifican desde segundo piso que ocurrió atencion pesima.,queja de cliente,recepcion,1
"Reportan flyer en zona de parqueaderos, estaba pasando entre un guardia.",publicidad,mercadeo,1
Mensaje recibido: resbale en zona coworking.,caida,sso,1
Un colaborador menciona haber visto conflicto en segundo piso.,pelea,seguridad,1
Parece que hubo carterazo afuera de McDonald's.,robo,seguridad,1
"Reportan hurto en zona coworking, estaba pasando entre recién pasó.",robo,seguridad,1
En patio de comidas un cliente reporta urgencia cerca de Isla de helados.,emergencia medica,sso,1
"Alguien avisó de elevador en fuera de Pycca, estaba recién pasó.",ascensor en falla,mantenimiento,1
Se genera alerta por decoracion en el sector de McDonald's.,montaje de evento,mercadeo,1
"Alguien avisó de papeles en baños del segundo piso, estaba recién pasó.",perdida de documentos,administracion,1
Un visitante dice que encontró publicidad cerca de Pícaro Resto Grill.,publicidad,mercadeo,1
Un colaborador menciona haber visto promo en zona de parqueaderos.,publicidad,mercadeo,1
Un colaborador menciona haber visto comportamiento extrano en baños del segundo piso.,persona sospechosa,seguridad,1
Un colaborador menciona haber visto cables sueltos en área bancaria.,cableado suelto,mantenimiento,2
Visitantes informan sangre cerca de piso 1.,emergencia medica,sso,1
Un cliente molesto dice que hubo publicidad cerca de Sweet & Coffee.,publicidad,mercadeo,1
Un visitante dice que encontró robo cerca de Doña Menestra.,robo,seguridad,1
Un cliente molesto dice que hubo queja cerca de Starbucks.,queja de cliente,recepcion,1
Un colaborador menciona haber visto publicidad en pasillo central.,publicidad,mercadeo,1
Un visitante dice que encontró iluminacion cerca de Juan Valdez.,iluminacion danada,mantenimiento,1
Mensaje recibido: dolor fuerte en piso 1.,emergencia medica,sso,1
En patio de comidas un cliente reporta accidente escalera cerca de McDonald's.,caida,sso,3
Un cliente molesto dice que hubo resbale cerca de Cinemark.,caida,sso,1
Se detecta algo relacionado con promo en área bancaria.,publicidad,mercadeo,1
"Reportan objeto perdido en terraza, estaba pasando entre justito.",objeto perdido,seguridad,3
Hubo alto volumen hace poco en zona coworking.,ruido excesivo,administracion,1
Notifican desde zona de carga que ocurrió dolor fuerte.,emergencia medica,sso,1
Un guardia indica que hubo fractura en terraza.,emergencia medica,sso,1
Se detecta algo relacionado con bloqueando en patio de comidas.,vehiculo mal estacionado,seguridad,1
Guardias revisan caso de corto circuito fuera de McDonald's.,cableado suelto,mantenimiento,1
Por radios informan goteo en junto a Tía.,fuga de agua,mantenimiento,1
Un cliente molesto dice que hubo no funciona ascensor cerca de Mi Comisariato.,ascensor en falla,mantenimiento,2
"Reportan tuberia rota en junto a Tía, estaba pasando entre medio raro.",persona sospechosa,seguridad,2
un man comentó que vio ruido por baños del segundo piso.,ruido excesivo,administracion,1
Se genera alerta por publicidad en el sector de Mi Comisariato.,publicidad,mercadeo,1
En cerca de Cinemark un cliente reporta se desmayo cerca de KFC.,inconsciencia,sso,1
Varias personas mencionan mal parqueado afuera de Pícaro Resto Grill.,vehiculo mal estacionado,seguridad,1
"Reportan retirar en fuera de Pycca, estaba pasando entre como que.",retiro material publicitario,mercadeo,1
Un cliente molesto dice que hubo perdido cerca de McDonald's.,objeto perdido,seguridad,2
como que comentó que vio goteo por junto a Tía.,fuga de agua,mantenimiento,1
Visitantes informan sospechoso cerca de patio de comidas.,persona sospechosa,seguridad,1
Visitantes informan perdi cerca de junto a las escaleras eléctricas.,objeto perdido,seguridad,2
Mensaje recibido: merodeando en pasillo central.,persona sospechosa,seguridad,1
Por radios informan quejar en cerca de Cinemark.,queja de cliente,recepcion,2
Un colaborador menciona haber visto sospechoso en piso 1.,persona sospechosa,seguridad,1
Varias personas mencionan tuberia rota afuera de Movistar.,fuga de agua,mantenimiento,1
Un visitante dice que encontró inundacion cerca de Claro.,fuga de agua,mantenimiento,1
Guardias revisan caso de publicidad fuera de Mega Kywi.,publicidad,mercadeo,1
Un colaborador menciona haber visto estacionado en junto a Tía.,vehiculo mal estacionado,seguridad,1
Un guardia indica que hubo sospechoso en junto a las escaleras eléctricas.,persona sospechosa,seguridad,2
Se observa foco a la altura de zona de carga.,iluminacion danada,mantenimiento,1
Un colaborador menciona haber visto tropece en entrada principal.,caida,sso,1
Varias personas mencionan atorado afuera de Juan Valdez.,ascensor en falla,mantenimiento,1
Notifican desde zona de carga que ocurrió atorado.,ascensor en falla,mantenimiento,1
"Alguien avisó de escalera en entrada principal, estaba full gente.",accidente en escalera,sso,1
Por radios informan molestia ruido en entrada principal.,queja de cliente,recepcion,3
Un guardia indica que hubo tropece en junto a las escaleras eléctricas.,caida,sso,2
Un cliente molesto dice que hubo apagado cerca de Cinemark.,iluminacion danada,mantenimiento,1
"Reportan elevador en entrada principal, estaba pasando entre un guardia.",ascensor en falla,mantenimiento,1
"Alguien avisó de accidente escalera en planta baja, estaba un chico.",caida,sso,3
Notifican desde cerca de Cinemark que ocurrió montaje.,montaje de evento,mercadeo,1
Notifican desde cerca de Cinemark que ocurrió estacionado.,vehiculo mal estacionado,seguridad,1
