mensaje_limpio,area
Rebision de bombas de agua lista. la presion esta estable. todo bn.,MANTENIMIENTO
Estoy muerto pero feliz. El evento fue un exitazo.,MERCADEO
"SEGUIMIENTO: Sobre el caso de intento de hurto en el parqadero subterráneo 2, se notifica a la Policía Nacional. El estado actual es: en verificación.",SEGURIDAD
"Acabo de ver una mencion del mall en las noticias locales, super positivo!",ADMINISTRACION
"Un sr nesesita una siya de ruedas en la entrada 3, q alguien de segurida ayude xfa.",ADMINISTRACION
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en el patio de comidas fue advertido por andamio sin señalizar. Se corrije la postura.,SEGURIDAD
Ya no ay mapas del mall. hay q pedir mas a marketing.,MERCADEO
Monitoreo preventivo: Operador de cámaras reporta un grupo de 3 jóvenes con actitud inusual en la azotea técnica. Ce mantiene vijilancia activa.,ADMINISTRACION
"Quien tiene los datos del el alcance de hoy? Pasen para el informe, es para mañana a primera hora.",ADMINISTRACION
CIERRE DE CASO: La novedad sobre activación indebida de manguera de incendios a sido controlada. el supervisor de turno reporta normalidad en la zona. Estado final: siendo atendida.,SSO
La campaña de pauta q lanzamos está funcionando chevere. El video tiene mas interaccion.,MERCADEO
El Guardia de turno en moto empeso la ronda en el parkeadero. les abiso cualkier cosa.,SEGURIDAD
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en la entrada de la Av. Orellana fue advertido por material inflamable mal almacenado. Se corrije la postura.,SEGURIDAD
"Un sr nesesita una siya de ruedas en la entrada 3, q alguien de segurida ayude xfa.",ADMINISTRACION
ALERTA DE RIESGO: Se detecta cable expuesto en pasillo en Sweet Coffee. el operador de cámaras y se coloca señalética de advertencia.,SSO
"Cliente pregunta si tenemos wifi gratis. sip, confirmado.",RECEPCION
El el aire acondicionado nesesita un repuesto q no ay. ya se pidio pero se demora.,MANTENIMIENTO
OBJETO ENCONTRADO: Ce a reportado el hallazgo de un iPhone 15 en la sala de lactancia. Se custodia en recepción bajo el código 375.,RECEPCION
104 resivido. voy al pasillo principal pa chekear.,ADMINISTRACION
Recordatorio automatico: la campaña de Black Friday se activa en 48h. Todo listo?,MERCADEO
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas TDE8771.,RECEPCION
Cerrando y asegurando todos los accesos del mall. Buenas noches.,ADMINISTRACION
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita un cargador de celular. la unidad motorizada Alpa1 brindando asistencia.,RECEPCION
El Community Manager dice q hay un troll en los comentarios de TikTok. Ojo con eso.,MERCADEO
Relevo del Operador CCTV en la puerta 5 listo. todo ok.,MANTENIMIENTO
TRABAJO FINALIZADO: El el extractor de olores del patio de comidas a sido reparado. Queda operativo. Estado final: pendiente por repuesto.,MANTENIMIENTO
Llaman para preguntar si Marathon vende tarjetas de regalo.,RECEPCION
La puerta de emergensia del pasiyo sur sono. falsa alarma de nuevo.,MANTENIMIENTO
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas PBA2572.,RECEPCION
Un gringo pregunta dnd comer comida de aka. lo mande al 3er piso.,RECEPCION
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en el parqueadero subterráneo 2 fue advertido por andamio sin ceñalizar. Se corrije la postura.,SEGURIDAD
El paramedico ta en la enfermeria x siakaso.,ADMINISTRACION
El aire del mall esta a 22. todo normal.,MANTENIMIENTO
CIERRE DE CASO: La novedad sobre menor extraviado a sido controlada. el anfitrión de servicio al cliente reporta normalidad en la zona. Estado final: reportada.,RECEPCION
Hay gente preguntando en los comentarios dnd es el canje. Diseñador Gráfico respondiendo a todos.,RECEPCION
Se presto el ultimo cargador portatil que tenianios.,RECEPCION
"SEGUIMIENTO: Sobre el caso de activación indebida de manguera de incendios en la sala de lactancia, ce revisan grabaciones. El estado actual es: reportada.",SSO
Fin del dia. se guardan las cosas perdidas y se cierra el punto. asta mañana!,RECEPCION
Chekeando los EPP del personal de mantenimiento. todo en orden.,MANTENIMIENTO
NUEVA ALERTA: Ce reporta conato de riña involucrando a el conductor de un Spark GT rojo en Todo Hogar. el supervisor de turno en camino.,ADMINISTRACION
"Suban historias a insta!! q se vea el ambiente, la gente disfrutando.",ADMINISTRACION
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas PBI7853.,RECEPCION
Un cliente se keja q la musica esta muy alta. ya pase el reporte.,RECEPCION
Se va a cortar la luz 5 minutos en el sector norte para un arreglo. avisen a los locales.,MANTENIMIENTO
CIERRE DE CASO: La novedad sobre intento de hurto a sido controlada. el personal de limpieza reporta normalidad en la zona. Estado final: siendo atendida.,SEGURIDAD
Un cliente se keja q la musica esta muy alta. ya pase el reporte.,RECEPCION
TRABAJO FINALIZADO: El la escalera eléctrica 3 a sido reparado. Queda operativo. Estado final: en verificación.,MANTENIMIENTO
Un vendedor ambulante intentando ingresar por el acceso 2. Se le retiró.,ADMINISTRACION
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en Lee fue advertido por derrame de líquido resbaloso. Se corrije la postura.,SEGURIDAD
"Un sr nesesita una siya de ruedas en la entrada 3, q alguien de segurida ayude xfa.",ADMINISTRACION
El telefono del punto de info no para de sonar hoy.,RECEPCION
ALERTA DE RIESGO: Se detecta cable expuesto en pasillo en Pycca. el técnico residente y ce notifica a limpiezamantenimiento.,MANTENIMIENTO
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas PCA4521.,RECEPCION
El Coordinador de Mkt dice q ya esta ok el material para las pantallas. Alguien confirma xfa?,ADMINISTRACION
"Revisando botikines, falta gasa en el del subsuelo 1. a reponer.",ADMINISTRACION
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en Sweet Coffee fue advertido por material inflamable mal almacenado. Se corrije la postura.,SEGURIDAD
Full gente pregunta x la promo del sorteo. pasenme toda la info para no desir cualkier cosa.,RECEPCION
INSPECCIÓN DE RUTINA: Se esta realizando la verificacion periódica de camilla de emergencia en el sector de Marathon Sports. Novedades serán reportadas.,ADMINISTRACION
No ay papel en los baños de abajo. manden a reponer.,MANTENIMIENTO
El Community Manager dice q hay un troll en los comentarios de TikTok. Ojo con eso.,MERCADEO
TRABAJO FINALIZADO: El el generador de emergencia a sido reparado. Queda operativo. Estado final: en monitoreo.,MANTENIMIENTO
Wenos dias! el punto de info ya esta abierto.,RECEPCION
Monitoreo preventivo: Operador de cámaras reporta un grupo de 3 jóvenes con actitud inusual en Pizza Hut. Ce mantiene vijilancia activa.,ADMINISTRACION
El Diseñador Gráfico dice q ya esta ok el material para las pantallas. Alguien confirma xfa?,ADMINISTRACION
Inspeccion de la escalera de emergencia. esta limpia y con la puerta funcional.,MANTENIMIENTO
Ok enterado. sigo biendo x las camaras ese sector.,SEGURIDAD
NUEVA ALERTA: Ce reporta vandalismo en baños involucrando a una persona desorientada en Banco Pichincha. el operador de cámaras en camino.,MANTENIMIENTO
Revisando los kpis de ayer... nada mal eh. A ver si hoy los rompemos.,ADMINISTRACION
El la bomba de agua del subsuelo 2 ase un ruido feo. q un tecnico lo revise mañana.,MANTENIMIENTO
OBJETO ENCONTRADO: Ce a reportado el hallazgo de una laptop en su maletín en Mi Juguetería. Se custodia en recepción bajo el código 933.,RECEPCION
Recibida alerta de panico desde la joyeria. unidades en camino.,ADMINISTRACION
"ACTUALIZACIÓN TÉCNICA: Respecto a la falla de la bomba de agua del subsuelo 1, ce reprograma para mantenimiento nocturno. El estado actual es: requiere proveedor externo.",MANTENIMIENTO
Se atendio a una pers con un corte en la mano. nada grabe.,ADMINISTRACION
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en el tablero eléctrico del ala sur de 23:00 a 01:00.,MANTENIMIENTO
"REPORTE DE CONSULTAS: Se elabora el reporte diario de consultas. Total del día: 350 consultas, la más frecuente fue horarios de atención.",ADMINISTRACION
Relevo del Operador CCTV en la puerta 5 listo. todo ok.,MANTENIMIENTO
Escoltando al pers de tesoreria. prosedimiento termino bn.,ADMINISTRACION
Finalizando el dia se revisan las bitacoras. Novedades menores unicamente.,ADMINISTRACION
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en el pasillo central fue advertido por derrame de líquido resbaloso. Se corrije la postura.,SEGURIDAD
La maquina de tickets del parqueadero no da cambio. a revisar.,ADMINISTRACION
104 resivido. voy al cuarto de bombas pa chekear.,MANTENIMIENTO
ALERTA DE RIESGO: Se detecta piso mojado sin señalizar en los baños del segundo piso. el paramédico y se realiza inspección del área.,MANTENIMIENTO
Limpiando a fondo la puerta 3. CUIDADO PISO MOJADO.,MANTENIMIENTO
"Ok, se acabó el firma de autógrafos. Mision cumplida. A desmontar todo.",ADMINISTRACION
Cliente molesto pq no encuentra una tienda. ya lo estamos guiando.,RECEPCION
"SEGUIMIENTO: Sobre el caso de vandalismo en baños en el área de juegos infantiles, se procede a retirar al individuo. El estado actual es: solucionada.",MANTENIMIENTO
INSPECCIÓN DE RUTINA: Se esta realizando la verificacion periódica de extintor PQS en el cector de el patio de comidas. Novedades cerán reportadas.,SSO
Bot de Simulación Operativa ha sido iniciado y está en línea.,ADMINISTRACION
INICIO DE SIMULACIÓN Bot Generador Cíclico San Marino ha sido iniciado. Se enviarán 25000 mensajes respetando los horarios operativos.,ADMINISTRACION
Chekeando los EPP del personal de mantenimiento. todo en orden.,MANTENIMIENTO
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas GCI9581.,RECEPCION
El extractor de olores de la plaza de comidas esta fallando. Tecnico en camino.,MANTENIMIENTO
Estoy muerto pero feliz. El evento fue un exitazo.,MERCADEO
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas PBA3886.,RECEPCION
"La escalera q sube al cine se daño. ya tamos biendo, no funsiona x ahora.",ADMINISTRACION
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita la ubicación del baño familiar. el coordinador de operaciones brindando asistencia.,MANTENIMIENTO
"Un sr nesesita una siya de ruedas en la entrada 3, q alguien de segurida ayude xfa.",ADMINISTRACION
"La escalera q sube al cine se daño. ya tamos biendo, no funsiona x ahora.",ADMINISTRACION
El Electricista de linpiesa ta con la makina pulidora. pongan el letrero.,MANTENIMIENTO
ALERTA DE RIESGO: Se detecta activación de detector de humo en Claro. el coordinador de operaciones y se verifica la causa de la alarma.,SSO
No se olviden de subir todas las fotos y videos del firma de autógrafos al drive.,ADMINISTRACION
CONSULTA FRECUENTE: Múltiples clientes preguntando por si el centro comercial es pet friendly. Se confirma la información para estandarizar respuesta.,RECEPCION
"Nesesito un plomero URGENTE en la pasillo principal, un lababo no para de gotear.",MANTENIMIENTO
TRABAJO FINALIZADO: El el ascensor panorámico a sido reparado. Queda operativo. Estado final: requiere proveedor externo.,MANTENIMIENTO
Encontramos una mochila en la puerta 3. la llevamos a recepcion.,MANTENIMIENTO
"La escalera q sube al cine se daño. ya tamos biendo, no funsiona x ahora.",ADMINISTRACION
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita asistencia para llamar a un taxi ceguro. el anfitrión de cervicio al cliente brindando asistencia.,RECEPCION
"La impresora no tiene tinta... justo aora . mantenimiento, auxilio!",MANTENIMIENTO
TRABAJO FINALIZADO: El el ascensor panorámico a sido reparado. Queda operativo. Estado final: reportada.,MANTENIMIENTO
Se registra el objeto perdido 234: un paraguas.,RECEPCION
TRABAJO FINALIZADO: El el sistema de AC (chiller 2) a sido reparado. Queda operativo. Estado final: en verificación.,MANTENIMIENTO
No se olviden de subir todas las fotos y videos del sorteo del auto al drive.,ADMINISTRACION
Se registra el objeto perdido 234: un paraguas.,RECEPCION
Analisis de sentimiento de Facebook: 90 positivos. La gente amó el activación con influencers. Nada mal.,MERCADEO
NUEVA ORDEN DE TRABAJO: Falla reportada en el sistema de AC (chiller 2) ubicado en Marathon Sports. Síntoma: olor a qmado.,MANTENIMIENTO
El newsletter semanal se fue sin errores. Sii! Un pendiente menos.,ADMINISTRACION
"El detector de umo del pasiyo 4 sono. falsa alarma, era el vapor de una plancha del Sukasa.",SEGURIDAD
TRABAJO FINALIZADO: El la bomba de agua del subsuelo 1 a sido reparado. Queda operativo. Estado final: solucionada.,MANTENIMIENTO
Recibida alerta de panico desde la joyeria. unidades en camino.,ADMINISTRACION
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en el sistema de AC (chiller 2) de 23:00 a 01:00.,MANTENIMIENTO
Huele feo en una de las bodegas. q alguien de limpieza chequee q es.,ADMINISTRACION
Recordatorio: usen guantes para manejar quimicos de limpieza.,ADMINISTRACION
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en el tablero eléctrico del ala sur de 23:00 a 01:00.,MANTENIMIENTO
"Ay unos estudiantes asiendo encuestas, tienen permiso??",ADMINISTRACION
TRABAJO FINALIZADO: El una luminaria del parqadero P3 a sido reparado. Queda operativo. Estado final: resuelta temporalmente.,MANTENIMIENTO
El influencer para el concierto en la plaza no contesta... pilas con eso.,MERCADEO
La camilla de primeros auxilios está lista y en su lugar.,ADMINISTRACION
La campaña de pauta q lanzamos está funcionando chevere. El video tiene mas interaccion.,MERCADEO
La puerta de emergensia del pasiyo sur sono. falsa alarma de nuevo.,MANTENIMIENTO
"ACTUALIZACIÓN TÉCNICA: Respecto a la falla de el tablero eléctrico del ala sur, ce aísla el circuito. El estado actual es: resuelta temporalmente.",MANTENIMIENTO
Xfa ablen claro en la radio. usen los codigos.,ADMINISTRACION
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en el ascensor panorámico de 23:00 a 01:00.,MANTENIMIENTO
El Técnico polivalente ya pinto la pared manchada en el parqueadero subsuelo 2. kedo bn.,ADMINISTRACION
"SEGUIMIENTO: Sobre el caso de menor extraviado en Payless, se busca a los padres del menor. El estado actual es: en verificación.",ADMINISTRACION
Escoltando al pers de tesoreria. prosedimiento termino bn.,ADMINISTRACION
Dejemos lista la grilla de contenidos para mañana. Asi empezamos mas tranquilos.,ADMINISTRACION
INSPECCIÓN DE RUTINA: Se esta realizando la verificacion periódica de detector de humo en el sector de el pasillo de servisios. Novedades serán reportadas.,ADMINISTRACION
"La impresora no tiene tinta... justo aora . mantenimiento, auxilio!",MANTENIMIENTO
El gerente acaba de pasar y nos felicitó. (Y) buen trabajo equipo!,ADMINISTRACION
NUEVA ALERTA: Ce reporta cliente agresivo involucrando a una pareja discutiendo a gritos en Supercines. el operador de cámaras en camino.,RECEPCION
104 resivido. voy al isla de ventas pa chekear.,ADMINISTRACION
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas GCE2624.,RECEPCION
Dejemos lista la grilla de contenidos para mañana. Asi empezamos mas tranquilos.,ADMINISTRACION
ALERTA DE RIESGO: Se detecta uso incorrecto de EPP por contratista en Explorer. el prevencionista y se notifica a limpiezamantenimiento.,MANTENIMIENTO
"CODIGO AMBAR: se perdio un niño. polera roja, yins, como 5 años. lo vieron en los juegos. PILAS TODOS.",ADMINISTRACION
"Ay unos estudiantes asiendo encuestas, tienen permiso??",ADMINISTRACION
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas PDE4729.,RECEPCION
NUEVA ORDEN DE TRABAJO: Falla reportada en el sistema de AC (chiller 2) ubicado en Etafashion. Síntoma: no enciende.,MANTENIMIENTO
"Sip, ya esta areglada la puerta automatica de la entrada 2. funsionando ok.",MANTENIMIENTO
El Guardia de turno está pidiendo papeles a un motorizado sin identificar.,SEGURIDAD
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en el ascensor panorámico de 23:00 a 01:00.,MANTENIMIENTO
"Acabo de ver una mencion del mall en las noticias locales, super positivo!",ADMINISTRACION
"ACTUALIZACIÓN TÉCNICA: Respecto a la falla de la compactadora de basura, se reprograma para mantenimiento nocturno. El estado actual es: pendiente por repuesto.",MANTENIMIENTO
El la bomba de agua nesesita un repuesto q no ay. ya se pidio pero se demora.,MANTENIMIENTO
El gerente acaba de pasar y nos felicitó. (Y) buen trabajo equipo!,ADMINISTRACION
INSPECCIÓN DE RUTINA: Se esta realizando la verificacion periódica de camilla de emergencia en el sector de el patio de comidas. Novedades serán reportadas.,ADMINISTRACION
Se actualizó el mapa de riesgos del centro comercial. a socializarlo.,SSO
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita un cargador de celular. el operador de cámaras brindando asistencia.,RECEPCION
Se presto el ultimo cargador portatil que tenianios.,RECEPCION
Impresionante la cantidad de gente en el activación con influencers. Esto es un éxito!!!,MERCADEO
TRABAJO FINALIZADO: El la puerta automática del acceso principal a sido reparado. Queda operativo. Estado final: siendo atendida.,MANTENIMIENTO
Impresionante la cantidad de gente en el activación con influencers. Esto es un éxito!!!,MERCADEO
"ACTUALIZACIÓN TÉCNICA: Respecto a la falla de la escalera eléctrica 3, ce solicita repuesto a bodega. El estado actual es: pendiente por repuesto.",MANTENIMIENTO
El Community Manager dice q ya esta ok el material para las pantallas. Alguien confirma xfa?,ADMINISTRACION
Un gringo pregunta dnd comer comida de aka. lo mande al 3er piso.,RECEPCION
Monitoreo preventivo: Operador de cámaras reporta un cliente en estado etílico con actitud inusual en Explorer. Ce mantiene vijilancia activa.,RECEPCION
El Community Manager dice q hay un troll en los comentarios de la web. Ojo con eso.,ADMINISTRACION
Se terminó de limpiar el ducto de basura. todo ok.,MANTENIMIENTO
Se acabó el alcohol en gel del dispensador de informacion.,RECEPCION
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en Pycca fue advertido por activación de detector de humo. Se corrije la postura.,SEGURIDAD
CIERRE DE CASO: La novedad sobre activación de botón de pánico a sido controlada. el prevencionista reporta normalidad en la zona. Estado final: solucionada.,ADMINISTRACION
El paramedico ta en la enfermeria x siakaso.,ADMINISTRACION
Se presto el ultimo cargador portatil que tenianios.,RECEPCION
Hay gente preguntando en los comentarios dnd es el canje. Community Manager respondiendo a todos.,RECEPCION
INSPECCIÓN DE RUTINA: Se esta realizando la verificacion periódica de extintor PQS en el sector de la rampa de acceso a Supercines. Novedades serán reportadas.,SSO
Una sra dejo un cel q se encontro en el baño. q bn q aya gente asi.,MANTENIMIENTO
El basurero de la entrada ta full. pasen a recojerlo.,MANTENIMIENTO
CONSULTA FRECUENTE: Múltiples clientes preguntando por la clave del WiFi. Se confirma la información para estandarizar respuesta.,RECEPCION
NUEVA ORDEN DE TRABAJO: Falla reportada en el extractor de olores del patio de comidas ubicado en Movistar. Síntoma: goteo constante.,MANTENIMIENTO
Finalizando el dia se revisan las bitacoras. Novedades menores unicamente.,ADMINISTRACION
Finalizando el dia se revisan las bitacoras. Novedades menores unicamente.,ADMINISTRACION
Recibido reporte de un inodoro tapado en los baños familiares. q asco... ya vamos.,MANTENIMIENTO
El Supermaxi tiene cajas en la ruta de evakuasion. q las muevan ahora.,ADMINISTRACION
NUEVA ORDEN DE TRABAJO: Falla reportada en la escalera eléctrica 3 ubicado en GMO. Síntoma: vibración excesiva.,MANTENIMIENTO
Monitoreo preventivo: Operador de cámaras reporta una persona desorientada con actitud inusual en Marathon Sports. Ce mantiene vijilancia activa.,ADMINISTRACION
Rebision de bombas de agua lista. la presion esta estable. todo bn.,MANTENIMIENTO
Se quemo un foco del pasiyo de afuera. el electrisista lo cambia en 20.,ADMINISTRACION
Encontramos una mochila en la bodegas. la llevamos a recepcion.,ADMINISTRACION
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en la escalera eléctrica 3 de 23:00 a 01:00.,MANTENIMIENTO
"Gente, ya está el post de buenos días en Instagram? avisen cdo esté live.",MERCADEO
Reportan un hurto menor en la parqueadero subsuelo 2. nesesito apollo.,SEGURIDAD
NUEVA ALERTA: Ce reporta persona sospechosa involucrando a un vendedor informal en Mi Juguetería. el técnico residente en camino.,ADMINISTRACION
Uff el post del sorteo la rompió. los canjes está por las nubes .,ADMINISTRACION
"Revisando botikines, falta gasa en el del subsuelo 1. a reponer.",ADMINISTRACION
"Sip, ya esta areglada la puerta automatica de la entrada 2. funsionando ok.",MANTENIMIENTO
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en Crepes Waffles fue advertido por piso mojado sin señalizar. Se corrije la postura.,SSO
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en el ascensor panorámico de 23:00 a 01:00.,MANTENIMIENTO
Rebision de luses de emerjencia. todas funsionan.,ADMINISTRACION
NUEVA ALERTA: Ce reporta cliente agresivo involucrando a un individuo con mochila y gorra en Produbanco. el prevencionista en camino.,RECEPCION
El Técnico de AC ya pinto la pared manchada en el pasillo principal. kedo bn.,ADMINISTRACION
La puerta del cuarto de basura quedo abierta. asegurando.,MANTENIMIENTO
INSPECCIÓN DE RUTINA: Se esta realizando la verificacion periódica de kit antiderrames en el sector de Claro. Novedades serán reportadas.,ADMINISTRACION
La puerta de emergensia del pasiyo sur sono. falsa alarma de nuevo.,MANTENIMIENTO
Reportan un carro mal parqueado en la parqueadero subsuelo 2. nesesito apollo.,ADMINISTRACION
CIERRE DE CASO: La novedad sobre conato de riña a sido controlada. el técnico residente reporta normalidad en la zona. Estado final: requiere proveedor externo.,ADMINISTRACION
"SEGUIMIENTO: Sobre el caso de carterista reportado en la azotea técnica, se aísla el área. El estado actual es: siendo atendida.",ADMINISTRACION
Encontramos una mochila en la puerta 3. la llevamos a recepcion.,MANTENIMIENTO
"Nesesito un plomero URGENTE en la zona de cines, un lababo no para de gotear.",MANTENIMIENTO
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita una silla de ruedas. el operador de cámaras brindando asistencia.,RECEPCION
Se terminó de limpiar el ducto de basura. todo ok.,MANTENIMIENTO
Ya subieron el post de gracias por venir a Instagram? usen las mejores fotos.,MERCADEO
"ACTUALIZACIÓN TÉCNICA: Respecto a la falla de una luminaria del parqueadero P3, se realiza mantenimiento correctivo. El estado actual es: cerrada con observación.",MANTENIMIENTO
La camilla de primeros auxilios está lista y en su lugar.,ADMINISTRACION
Se cierra el punto. Novedades registradas en la bitacora. buenas noches.,RECEPCION
"Un cliente se mario en la puerta 3. el Prevencionista lo esta ayudando, creo q se le bajo la presion.",MANTENIMIENTO
"Suban historias a insta!! q se vea el ambiente, la gente disfrutando.",ADMINISTRACION
CONSULTA FRECUENTE: Múltiples clientes preguntando por si el centro comercial es pet friendly. Se confirma la información para estandarizar respuesta.,RECEPCION
NUEVA ALERTA: Ce reporta vehículo abandonado involucrando a el conductor de un Spark GT rojo en la rampa de acceso a Supercines. el prevencionista en camino.,ADMINISTRACION
No se olviden de subir todas las fotos y videos del activación con influencers al drive.,MERCADEO
La puerta contra insendios del pasillo principal no puede estar trabada. kien puso eso?,MANTENIMIENTO
CIERRE DE CASO: La novedad sobre daño a la propiedad a sido controlada. el personal de limpieza reporta normalidad en la zona. Estado final: escalada a gerencia.,ADMINISTRACION
Rebision de luses de emerjencia. todas funsionan.,ADMINISTRACION
Un cliente se keja q la musica esta muy alta. ya pase el reporte.,RECEPCION
NUEVA ALERTA: Ce reporta vandalismo en baños involucrando a un individuo con mochila y gorra en Fybeca. el coordinador de operaciones en camino.,MANTENIMIENTO
OBJETO ENCONTRADO: Ce a reportado el hallazgo de una laptop en su maletín en el cuarto de generadores. Se custodia en recepción bajo el código 427.,RECEPCION
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita un cargador de celular. la unidad motorizada Alpa1 brindando asistencia.,RECEPCION
El Supervisor está pidiendo papeles a un motorizado sin identificar.,ADMINISTRACION
La camilla de primeros auxilios está lista y en su lugar.,ADMINISTRACION
Dejando las herramientas en la bodega. Jornada terminada.,ADMINISTRACION
"Empezó el firma de autógrafos!!! full gente, hagamos live en insta AHORA.",ADMINISTRACION
Monitoreo preventivo: Operador de cámaras reporta un individuo con mochila y gorra con actitud inusual en Marathon Sports. Ce mantiene vijilancia activa.,ADMINISTRACION
CONSULTA FRECUENTE: Múltiples clientes preguntando por dónde puedo pagar el parqueadero. Se confirma la información para estandarizar respuesta.,RECEPCION
Dejemos lista la grilla de contenidos para mañana. Asi empezamos mas tranquilos.,ADMINISTRACION
Reporto q el la cámara domo no funsiona. ya avisamos y pusimos un papelito.,ADMINISTRACION
CONSULTA FRECUENTE: Múltiples clientes preguntando por la clave del WiFi. Se confirma la información para estandarizar respuesta.,RECEPCION
NUEVA ALERTA: Ce reporta conato de riña involucrando a un vendedor informal en Todo Hogar. el prevencionista en camino.,ADMINISTRACION
Dejemos lista la grilla de contenidos para mañana. Asi empezamos mas tranquilos.,ADMINISTRACION
Revisando los kpis de ayer... nada mal eh. A ver si hoy los rompemos.,ADMINISTRACION
CIERRE DE CASO: La novedad sobre persona sospechosa a sido controlada. el personal de limpieza reporta normalidad en la zona. Estado final: en monitoreo.,ADMINISTRACION
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en De Prati fue advertido por cable expuesto en pasillo. Se corrije la postura.,SEGURIDAD
La puerta contra insendios del isla de ventas no puede estar trabada. kien puso eso?,MANTENIMIENTO
El Community Manager dice q hay un troll en los comentarios de TikTok. Ojo con eso.,MERCADEO
